,sq_mt_built,n_rooms,n_bathrooms,floor,is_floor_under,buy_price,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,Pisos,Casa o chalet,Áticos,Dúplex,distrito_id_num,neighborhood_id_num,neighborhood_price_m2,estimado_metros_por_preciom2
10192,73.0,2,1.0,1.0,0,620000,0,1,1970.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,6.0,35.0,5640.18,411733.14
10193,137.0,3,2.0,4.0,0,1300000,0,1,1970.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,6.0,35.0,5640.18,772704.66
10194,134.0,3,2.0,1.0,0,995000,0,1,1970.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,6.0,35.0,5640.18,755784.12
10195,76.0,2,1.0,4.0,0,770000,0,1,1970.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,6.0,35.0,5640.18,428653.68000000005
10196,132.0,3,2.0,3.0,0,1200000,0,1,1970.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,6.0,35.0,5640.18,744503.76
10197,143.0,1,1.0,6.0,0,508000,1,0,1963.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,6.0,37.0,5000.0,715000.0
10198,65.0,2,1.0,2.0,0,299000,1,0,1970.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,37.0,5000.0,325000.0
10199,135.0,3,1.0,4.0,0,687000,0,0,1970.0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0.0,0,0,1,0,1,0,0,0,6.0,37.0,5000.0,675000.0
10200,83.0,2,1.0,1.0,0,430000,0,0,1953.0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0.0,0,0,0,0,1,0,0,0,6.0,33.0,4869.57,404174.31
10201,104.0,3,2.0,6.0,0,635000,0,0,1970.0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0.0,0,1,1,0,1,0,0,0,6.0,34.0,5000.0,520000.0
10202,183.0,3,2.0,4.0,0,795000,0,0,1970.0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0.0,0,0,0,1,1,0,0,0,6.0,34.0,5000.0,915000.0
10203,127.0,4,2.0,6.0,0,574990,0,0,1970.0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0.0,0,0,0,0,1,0,0,0,6.0,34.0,5000.0,635000.0
10204,67.0,2,1.0,1.0,0,550000,0,0,1935.0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,35.0,5640.18,377892.06
10205,46.0,2,1.0,3.0,0,126000,0,0,1930.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,33.0,4869.57,224000.22
10206,148.0,2,2.0,1.0,0,999000,0,0,1970.0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,34.0,5000.0,740000.0
10207,171.0,4,3.0,1.0,0,1178000,0,0,1970.0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,34.0,5000.0,855000.0
10208,200.0,5,4.0,2.0,0,1400000,0,0,1987.0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0.0,0,0,0,1,1,0,0,0,6.0,37.0,5000.0,1000000.0
10209,55.0,1,1.0,6.0,0,425000,0,0,1970.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,36.0,4548.3,250156.5
10210,210.0,3,3.0,3.0,0,850000,0,0,1970.0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0.0,0,0,0,1,1,0,0,0,6.0,37.0,5000.0,1050000.0
10211,198.0,3,2.0,1.0,0,1177000,1,0,1973.0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,60000.0,1,1,0,0,1,0,0,0,6.0,34.0,5000.0,990000.0
10212,36.0,0,1.0,0.5,1,175000,0,0,1930.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,33.0,4869.57,175304.52
10213,123.0,3,2.0,3.0,0,750000,0,0,1970.0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0.0,0,0,1,0,1,0,0,0,6.0,37.0,5000.0,615000.0
10214,159.0,3,2.0,1.0,0,895000,0,0,1970.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,37.0,5000.0,795000.0
10215,115.0,3,2.0,1.0,0,730000,0,0,1970.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,35.0,5640.18,648620.7000000001
10216,34.0,1,1.0,4.0,0,185000,0,0,1970.0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,0,0,6.0,36.0,4548.3,154642.2
10217,157.0,5,2.0,4.0,0,599000,0,0,1950.0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,70.0,1,0,1,1,1,0,0,0,6.0,37.0,5000.0,785000.0
10218,168.0,3,2.0,2.0,0,1150000,1,0,1970.0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,32.0,6564.27,1102797.36
10219,110.0,4,2.0,0.5,1,480000,0,0,1970.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0,0,1,0,1,0,0,0,6.0,33.0,4869.57,535652.7
10220,90.0,4,2.0,1.0,0,425000,1,0,1970.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,6.0,37.0,5000.0,450000.0
10221,45.0,0,1.0,3.0,0,335000,0,0,1970.0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,6.0,35.0,5640.18,253808.1
